_id,id_subsistema,nom_subsistema,id_estado,nom_estado,nom_modalidadeoperacao,nom_agenteproprietario,nom_tipousina,nom_usina,ceg,nom_unidadegeradora,cod_equipamento,num_unidadegeradora,nom_combustivel,dat_entradateste,dat_entradaoperacao,dat_desativacao,val_potenciaefetiva
1,NE,NORDESTE,AL,ALAGOAS,TIPO I,CHESF,HIDROELÉTRICA,XINGÓ,UHE.PH.SE.027053-9.01,UG  527 MW USINA XINGO               6 AL,ALUXG-0UG6,6,HIDRÁULICA,1994-04-30T00:00:00,1994-04-30T00:00:00,,527.0
2,NE,NORDESTE,AL,ALAGOAS,TIPO I,CHESF,HIDROELÉTRICA,XINGÓ,UHE.PH.SE.027053-9.01,UG  527 MW USINA XINGO               5 AL,ALUXG-0UG5,5,HIDRÁULICA,1995-01-31T00:00:00,1995-01-31T00:00:00,,527.0
3,NE,NORDESTE,AL,ALAGOAS,TIPO I,CHESF,HIDROELÉTRICA,XINGÓ,UHE.PH.SE.027053-9.01,UG  527 MW USINA XINGO               4 AL,ALUXG-0UG4,4,HIDRÁULICA,1995-10-26T00:00:00,1995-10-26T00:00:00,,527.0
4,NE,NORDESTE,AL,ALAGOAS,TIPO I,CHESF,HIDROELÉTRICA,XINGÓ,UHE.PH.SE.027053-9.01,UG  527 MW USINA XINGO               3 AL,ALUXG-0UG3,3,HIDRÁULICA,1996-07-31T00:00:00,1996-07-31T00:00:00,,527.0
5,NE,NORDESTE,AL,ALAGOAS,TIPO I,CHESF,HIDROELÉTRICA,XINGÓ,UHE.PH.SE.027053-9.01,UG  527 MW USINA XINGO               2 AL,ALUXG-0UG2,2,HIDRÁULICA,1996-12-20T00:00:00,1996-12-20T00:00:00,,527.0
6,NE,NORDESTE,AL,ALAGOAS,TIPO I,CHESF,HIDROELÉTRICA,XINGÓ,UHE.PH.SE.027053-9.01,UG  527 MW USINA XINGO               1 AL,ALUXG-0UG1,1,HIDRÁULICA,1997-08-22T00:00:00,1997-08-22T00:00:00,,527.0
7,NE,NORDESTE,AL,ALAGOAS,TIPO I,BRASYMPE,TÉRMICA,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,UG 1P64 MW RIO LARGO                99 AL,ALBERL0UG99,99,ÓLEO DIESEL,2002-07-30T00:00:00,2002-08-05T00:00:00,2006-01-01T00:00:00,1.64
8,NE,NORDESTE,AL,ALAGOAS,TIPO I,BRASYMPE,TÉRMICA,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,UG 1P64 MW RIO LARGO                98 AL,ALBERL0UG98,98,ÓLEO DIESEL,2002-07-30T00:00:00,2002-08-05T00:00:00,2006-01-01T00:00:00,1.64
9,NE,NORDESTE,AL,ALAGOAS,TIPO I,BRASYMPE,TÉRMICA,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,UG 1P64 MW RIO LARGO                97 AL,ALBERL0UG97,97,ÓLEO DIESEL,2002-07-30T00:00:00,2002-08-05T00:00:00,2006-01-01T00:00:00,1.64
10,NE,NORDESTE,AL,ALAGOAS,TIPO I,BRASYMPE,TÉRMICA,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,UG 1P64 MW RIO LARGO                96 AL,ALBERL0UG96,96,ÓLEO DIESEL,2002-07-30T00:00:00,2002-08-05T00:00:00,2006-01-01T00:00:00,1.64
11,NE,NORDESTE,AL,ALAGOAS,TIPO I,BRASYMPE,TÉRMICA,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,UG 1P64 MW RIO LARGO                95 AL,ALBERL0UG95,95,ÓLEO DIESEL,2002-07-30T00:00:00,2002-08-05T00:00:00,2006-01-01T00:00:00,1.64
12,NE,NORDESTE,AL,ALAGOAS,TIPO I,BRASYMPE,TÉRMICA,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,UG 1P64 MW RIO LARGO                94 AL,ALBERL0UG94,94,ÓLEO DIESEL,2002-07-30T00:00:00,2002-08-05T00:00:00,2006-01-01T00:00:00,1.64
13,NE,NORDESTE,AL,ALAGOAS,TIPO I,BRASYMPE,TÉRMICA,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,UG 1P64 MW RIO LARGO                93 AL,ALBERL0UG93,93,ÓLEO DIESEL,2002-07-30T00:00:00,2002-08-05T00:00:00,2006-01-01T00:00:00,1.64
14,NE,NORDESTE,AL,ALAGOAS,TIPO I,BRASYMPE,TÉRMICA,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,UG 1P64 MW RIO LARGO                92 AL,ALBERL0UG92,92,ÓLEO DIESEL,2002-07-30T00:00:00,2002-08-05T00:00:00,2006-01-01T00:00:00,1.64
15,NE,NORDESTE,AL,ALAGOAS,TIPO I,BRASYMPE,TÉRMICA,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,UG 1P64 MW RIO LARGO                91 AL,ALBERL0UG91,91,ÓLEO DIESEL,2002-07-30T00:00:00,2002-08-05T00:00:00,2006-01-01T00:00:00,1.64
16,NE,NORDESTE,AL,ALAGOAS,TIPO I,BRASYMPE,TÉRMICA,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6.01,UG 1P64 MW RIO LARGO                90 AL,ALBERL0UG90,90,ÓLEO DIESEL,2002-07-30T00:00:00,2002-08-05T00:00:00,2006-01-01T00:00:00,1.64
